id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,VCTM3,pa31dg7r6nc2biba,P1,9622978964,2,2,1,1
2,VCTM3,d0cfxj4a6nc2biba,P1,6725039433,20,20,1,1
3,VCTM3,f2qz0oak6nc2biba,P1,8336963149,22,22,1,1
4,VCTM3,xbdqanns6nc2biba,P1,6363223281,13,13,1,2
5,VCTM3,h54x07sn6nc2biba,P1,7879072030,13,13,1,2
6,VCTM3,t0odwkh16nc2biba,P1,1531254326,13,18,1,2
7,VCTM3,85f3nbal6nc2biba,P1,3348292343,10,18,1,2
8,VCTM3,8retsqc56nc2biba,P1,7925140574,26,26,1,2
9,VCTM3,mh70q2iq6nc2biba,P1,5896017922,26,26,1,2
10,VCTM3,lixpvz186nc2biba,P1,2037427464,11,28,1,2
11,VCTM3,7066ivdl6nc2biba,P1,2041558150,11,28,1,2
12,VCTM3,1ddj9yy36nc2biba,P1,7285394057,6,6,1,4
13,VCTM3,qc3h2tie6nc2biba,P1,2471196597,6,6,1,4
14,VCTM3,f0bu38196nc2biba,P1,3398682869,6,6,1,4
15,VCTM3,rmehdl8z6nc2biba,P1,8780493416,6,6,1,4
16,VCTM3,h0ijnz2v6nc2biba,P1,5860424248,14,14,1,4
17,VCTM3,d99mt25g6nc2biba,P1,5790943941,14,14,1,4
18,VCTM3,mbsntbyn6nc2biba,P1,7947126751,14,14,1,4
19,VCTM3,6r8ra7j46nc2biba,P1,5404696637,14,14,1,4
20,VCTM3,g4s1z89q6nc2biba,P1,3727116766,25,25,1,5
21,VCTM3,9a56nxms6nc2biba,P1,6214172108,8,25,1,5
22,VCTM3,bxwmac8e6nc2biba,P1,8640489920,25,25,1,5
23,VCTM3,9hgfb4vg6nc2biba,P1,9658448250,25,25,1,5
24,VCTM3,1klmhoq96nc2biba,P1,6997717081,25,25,1,5
25,VCTM3,0vooi66r6nc2biba,P1,8749843287,7,7,1,6
26,VCTM3,i1c85g8x6nc2biba,P1,3781121678,7,7,1,6
27,VCTM3,xcc9eyws6nc2biba,P1,8186561616,7,7,1,6
28,VCTM3,z08l49wc6nc2biba,P1,2323589030,7,7,1,6
