id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
74,FRST2,gjpjpxsi2sz06m0p,P1,1035990377,11,30,1,16
75,FRST2,7xi6d3qa2sz06m0p,P1,6859894122,25,30,1,16
76,FRST2,f3j78fp62sz06m0p,P1,7938179179,9,30,1,16
77,FRST2,7vj9uuvq2sz06m0p,P1,9101522295,8,30,1,16
78,FRST2,rby8qbjb2sz06m0p,P1,6833315041,9,30,1,16
79,FRST2,2h17i79u2sz06m0p,P1,2978715869,12,30,1,16
80,FRST2,05s53q462sz06m0p,P1,2895819666,11,30,2,16
81,FRST2,2h17i79u2sz06m0p,P1,2978715869,12,30,2,16
82,FRST2,wvuqqhf42sz06m0p,P1,7858306707,8,30,2,16
83,FRST2,4n622d812sz06m0p,P1,4882630582,30,30,2,16
84,FRST2,nfcjoc5c2sz06m0p,P1,1479220186,25,30,2,16
85,FRST2,qh4m2v0u2sz06m0p,P1,3368706666,30,30,2,16
86,FRST2,7xi6d3qa2sz06m0p,P1,6859894122,25,30,2,16
87,FRST2,6mo4gv2a2sz06m0p,P1,2413316606,9,30,2,16
88,FRST2,hp3fp0j62sz06m0p,P1,5598483247,9,30,2,16
89,FRST2,f3j78fp62sz06m0p,P1,7938179179,9,30,2,16
90,FRST2,zmara1j82sz06m0p,P1,3543844940,8,30,2,16
91,FRST2,7vj9uuvq2sz06m0p,P1,9101522295,8,30,2,16
92,FRST2,gjpjpxsi2sz06m0p,P1,1035990377,11,30,2,16
93,FRST2,rby8qbjb2sz06m0p,P1,6833315041,9,30,2,16
94,FRST2,tsu1ffr52sz06m0p,P1,3500168071,8,30,2,16
95,FRST2,k1owfdts2sz06m0p,P1,9813435290,7,30,2,16
96,FRST2,wtykhumn2sz06m0p,P1,7525004798,8,10,2,12
97,FRST2,yboutnlf2sz06m0p,P1,3594294880,10,10,2,12
98,FRST2,n9hf0s3c2sz06m0p,P1,2799127660,10,10,2,12
99,FRST2,j0ko7plh2sz06m0p,P1,2532644137,10,10,2,12
100,FRST2,hvkblsh72sz06m0p,P1,6661934525,10,10,2,12
101,FRST2,epumuk4q2sz06m0p,P1,8608435114,10,10,2,12
102,FRST2,xa40ubuv2sz06m0p,P1,5173986993,10,10,2,12
