id_play,code_play,code_session,treat,hidden_number,report1,report2
1,46bf74ta,dilp2wii,ENDO3,8,8,8
2,nuniijrc,dilp2wii,ENDO3,6,6,20
3,f4rt5bft,dilp2wii,ENDO3,13,30,30
1,essnsf91,ol9z1zc8,ENDO3,8,12,12
2,kdqmgji4,ol9z1zc8,ENDO3,12,12,12
3,uqs34vue,ol9z1zc8,ENDO3,7,7,14
5,nl2qsird,ol9z1zc8,ENDO3,10,30,30
8,pxdur8he,ol9z1zc8,ENDO3,12,30,30
