id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
73,EXO3,wxozrdlg6aaq1xxk,P1,7707347185,11,30,1,17
74,EXO3,nwvqlc9h6aaq1xxk,P1,4421491798,8,30,1,17
75,EXO3,akl5jc736aaq1xxk,P1,7122333138,8,30,1,17
76,EXO3,p1eip2r16aaq1xxk,P1,9062315971,10,30,1,17
77,EXO3,jorborz66aaq1xxk,P1,2324538234,8,30,1,17
78,EXO3,t2jor7c26aaq1xxk,P1,4104430361,8,30,1,17
79,EXO3,tfkrs7il6aaq1xxk,P1,2401226742,10,30,1,17
80,EXO3,d5dvj9fd6aaq1xxk,P1,5184700064,1,30,1,17
81,EXO3,yyoej0qp6aaq1xxk,P1,1342853332,9,30,1,17
82,EXO3,szfyst586aaq1xxk,P1,3468430154,13,30,1,17
83,EXO3,q7ab1hz96aaq1xxk,P1,4451925477,6,30,1,17
84,EXO3,liflo79w6aaq1xxk,P1,4876820218,11,30,2,17
85,EXO3,t2jor7c26aaq1xxk,P1,4104430361,8,30,2,17
86,EXO3,ckcy2xt66aaq1xxk,P1,3694339196,7,30,2,17
87,EXO3,wxozrdlg6aaq1xxk,P1,7707347185,11,30,2,17
88,EXO3,2pzl7e9a6aaq1xxk,P1,5993994955,7,30,2,17
89,EXO3,zc4bf2u46aaq1xxk,P1,6177834476,12,30,2,17
90,EXO3,q7ab1hz96aaq1xxk,P1,4451925477,6,30,2,17
91,EXO3,yyoej0qp6aaq1xxk,P1,1342853332,9,30,2,17
92,EXO3,nwvqlc9h6aaq1xxk,P1,4421491798,8,30,2,17
93,EXO3,d5dvj9fd6aaq1xxk,P1,5184700064,1,30,2,17
94,EXO3,p1eip2r16aaq1xxk,P1,9062315971,10,30,2,17
95,EXO3,m8g2ak7s6aaq1xxk,P1,5683846406,7,30,2,17
96,EXO3,akl5jc736aaq1xxk,P1,7122333138,8,30,2,17
97,EXO3,jorborz66aaq1xxk,P1,2324538234,8,30,2,17
98,EXO3,ek6at7z16aaq1xxk,P1,1092491001,30,30,2,17
99,EXO3,szfyst586aaq1xxk,P1,3468430154,13,30,2,17
100,EXO3,tfkrs7il6aaq1xxk,P1,2401226742,10,30,2,17
101,EXO3,qfvd02gy6aaq1xxk,P1,2909216807,7,10,2,16
102,EXO3,2i7k6ziz6aaq1xxk,P1,2168724444,10,10,2,16
103,EXO3,9va1vpxp6aaq1xxk,P1,6283708470,10,10,2,16
104,EXO3,whd3ehg46aaq1xxk,P1,4391718993,10,10,2,16
105,EXO3,k6hvh8o46aaq1xxk,P1,4133044181,10,10,2,16
106,EXO3,oy08j6rr6aaq1xxk,P1,1427480966,10,10,2,16
107,EXO3,rb4j01kt6aaq1xxk,P1,3321639851,10,10,2,16
108,EXO3,yaehea326aaq1xxk,P1,7617614043,10,10,2,16
109,EXO3,8k36ben26aaq1xxk,P1,3495941446,10,10,2,16
110,EXO3,zgrwqiul6aaq1xxk,P1,2180606967,10,10,2,16
111,EXO3,4syoxeal6aaq1xxk,P1,5582444174,10,10,2,16
112,EXO3,n7dnk4h96aaq1xxk,P1,4891404242,10,10,2,16
113,EXO3,ftb0hcz26aaq1xxk,P1,1447463494,10,10,2,16
114,EXO3,18f8lgzg6aaq1xxk,P1,4736057980,10,10,2,16
115,EXO3,agyugde06aaq1xxk,P1,3527442802,10,10,2,16
116,EXO3,f2tdsa0t6aaq1xxk,P1,5895487774,10,10,2,16
117,EXO3,indr7nc16aaq1xxk,P1,7236595963,9,9,2,12
118,EXO3,83c2qfj66aaq1xxk,P1,4219841131,9,9,2,12
119,EXO3,7tvxhf8o6aaq1xxk,P1,8226161289,9,9,2,12
120,EXO3,x5m234xy6aaq1xxk,P1,9734671637,9,9,2,12
121,EXO3,r8brz2j96aaq1xxk,P1,2506238240,9,9,2,12
122,EXO3,99e4fpqr6aaq1xxk,P1,5978369555,9,9,2,12
123,EXO3,npef5g2l6aaq1xxk,P1,1495965046,9,9,2,12
124,EXO3,m2r5kku06aaq1xxk,P1,3579608844,9,9,2,12
125,EXO3,giyw7uy96aaq1xxk,P1,4842971870,9,9,2,12
126,EXO3,cx7eoulh6aaq1xxk,P1,1747645254,9,9,2,12
127,EXO3,9hytlhta6aaq1xxk,P1,7456289782,9,9,2,12
128,EXO3,tgo8ddqb6aaq1xxk,P1,8860584013,9,9,2,12
129,EXO3,yls4692z6aaq1xxk,P1,9590606293,11,11,2,7
130,EXO3,logv67wb6aaq1xxk,P1,8921012943,11,11,2,7
131,EXO3,4qkodb746aaq1xxk,P1,9690320672,11,11,2,7
132,EXO3,zn5jysqb6aaq1xxk,P1,2333746603,11,11,2,7
133,EXO3,pers2me36aaq1xxk,P1,5399396495,11,11,2,7
134,EXO3,ie34mjhk6aaq1xxk,P1,5128118102,11,11,2,7
135,EXO3,nsjtr1906aaq1xxk,P1,7534986117,11,11,2,7
136,EXO3,3td9yiz46aaq1xxk,P1,8842524725,14,14,2,5
137,EXO3,ui2w2zy66aaq1xxk,P1,1277023186,14,14,2,5
138,EXO3,htfd2mnb6aaq1xxk,P1,8891592734,14,14,2,5
139,EXO3,81431ucc6aaq1xxk,P1,7424388692,14,14,2,5
140,EXO3,704k271a6aaq1xxk,P1,3599323747,14,14,2,5
141,EXO3,4ittcknb6aaq1xxk,P1,1725609459,7,7,2,5
142,EXO3,s18zfy3d6aaq1xxk,P1,6615755344,7,7,2,5
143,EXO3,j20iprkg6aaq1xxk,P1,8584914089,7,7,2,5
144,EXO3,lpvxxyyi6aaq1xxk,P1,3066123919,7,7,2,5
145,EXO3,whqhosxx6aaq1xxk,P1,4295337579,7,7,2,5
146,EXO3,5khe5g216aaq1xxk,P1,6610758495,8,8,2,4
147,EXO3,hc9zxqpn6aaq1xxk,P1,2141497070,8,8,2,4
148,EXO3,syxth8ui6aaq1xxk,P1,4499962009,8,8,2,4
149,EXO3,42yza7qh6aaq1xxk,P1,8045217504,8,8,2,4
150,EXO3,1uc1hf1t6aaq1xxk,P1,2560820533,9,20,2,3
151,EXO3,dp3ro84z6aaq1xxk,P1,9764562332,5,20,2,3
152,EXO3,soyo63mo6aaq1xxk,P1,3695604066,20,20,2,3
153,EXO3,iaypm9e16aaq1xxk,P1,4027546892,12,12,2,3
154,EXO3,ee39sxkm6aaq1xxk,P1,3541440800,12,12,2,3
155,EXO3,sxfftv7s6aaq1xxk,P1,8391276642,12,12,2,3
156,EXO3,ejwvs9cx6aaq1xxk,P1,7261234010,21,21,2,2
157,EXO3,di6hvnje6aaq1xxk,P1,1542130754,21,21,2,2
158,EXO3,a8ka8b3i6aaq1xxk,P1,5209532547,6,6,2,2
159,EXO3,ssj78ftd6aaq1xxk,P1,2647775137,6,6,2,2
160,EXO3,fgw21z146aaq1xxk,P1,6310435231,1,29,2,1
161,EXO3,7jalz48j6aaq1xxk,P1,1279953447,26,26,2,1
162,EXO3,y25usr486aaq1xxk,P1,3160315934,11,24,2,1
163,EXO3,ypyu84x46aaq1xxk,P1,1722430142,6,18,2,1
164,EXO3,13uk3x806aaq1xxk,P1,7662422993,8,16,2,1
165,EXO3,vx5734b36aaq1xxk,P1,6649932562,5,5,2,1
166,EXO3,k5bzx5yv6aaq1xxk,P1,4703895573,2,2,2,1
