id_play,code_play,code_session,treat,hidden_number,report1,report2
1,q4tg7nwu,sh64pkh6,EXO3,8,20,20
2,2ln4a1p4,sh64pkh6,EXO3,7,7,7
3,s4ifu6fm,sh64pkh6,EXO3,6,6,30
4,1s0c6e6l,sh64pkh6,EXO3,10,10,10
1,6qw7ee1f,ilxfsumt,EXO3,9,9,9
4,etgn8f89,ilxfsumt,EXO3,11,11,25
5,5jtlcb4g,ilxfsumt,EXO3,9,9,9
6,332loppp,ilxfsumt,EXO3,10,10,10
7,3k6p1lqv,ilxfsumt,EXO3,6,6,20
