id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,VCTM5,p2session2data,P2,3988386972,1,1,1,1
2,VCTM5,p2session2data,P2,6346546297,6,6,1,1
3,VCTM5,p2session2data,P2,3197686757,12,13,1,1
4,VCTM5,p2session2data,P2,4630110075,10,18,1,1
5,VCTM5,p2session2data,P2,8519255924,22,22,1,1
6,VCTM5,p2session2data,P2,6418046186,26,26,1,1
7,VCTM5,p2session2data,P2,1108876965,27,27,1,1
8,VCTM5,p2session2data,P2,8005340493,26,28,1,1
9,VCTM5,p2session2data,P2,5151657274,7,7,1,2
10,VCTM5,p2session2data,P2,7946397007,7,7,1,2
11,VCTM5,p2session2data,P2,5885426676,8,8,1,2
12,VCTM5,p2session2data,P2,5631239304,8,8,1,2
13,VCTM5,p2session2data,P2,5339660502,11,15,1,2
14,VCTM5,p2session2data,P2,7353253846,8,15,1,2
15,VCTM5,p2session2data,P2,8770838178,7,20,1,2
16,VCTM5,p2session2data,P2,3976234750,8,20,1,2
17,VCTM5,p2session2data,P2,5753584019,12,30,1,2
18,VCTM5,p2session2data,P2,4037847170,7,30,1,2
19,VCTM5,p2session2data,P2,7013104509,9,9,1,3
20,VCTM5,p2session2data,P2,4782109855,9,9,1,3
21,VCTM5,p2session2data,P2,4193453638,9,9,1,3
22,VCTM5,p2session2data,P2,9742143058,10,10,1,3
23,VCTM5,p2session2data,P2,3208106961,10,10,1,3
24,VCTM5,p2session2data,P2,1243027609,21,10,1,3
25,VCTM5,p2session2data,P2,3381560601,12,12,1,3
26,VCTM5,p2session2data,P2,4857792889,12,12,1,3
27,VCTM5,p2session2data,P2,6892546454,10,12,1,3
28,VCTM5,p2session2data,P2,4157132235,11,11,1,4
29,VCTM5,p2session2data,P2,8427998212,11,11,1,4
30,VCTM5,p2session2data,P2,4473165659,11,11,1,4
31,VCTM5,p2session2data,P2,9216377667,11,11,1,4
32,VCTM5,p2session2data,P2,9216377667,11,11,2,4
33,VCTM5,p2session2data,P2,4157132235,11,11,2,4
34,VCTM5,p2session2data,P2,4473165659,11,11,2,4
35,VCTM5,p2session2data,P2,8427998212,11,11,2,4
36,VCTM5,p2session2data,P2,3381560601,12,12,2,3
37,VCTM5,p2session2data,P2,4857792889,12,12,2,3
38,VCTM5,p2session2data,P2,6892546454,10,12,2,3
39,VCTM5,p2session2data,P2,3208106961,10,10,2,3
40,VCTM5,p2session2data,P2,9742143058,10,10,2,3
41,VCTM5,p2session2data,P2,1243027609,21,10,2,3
42,VCTM5,p2session2data,P2,4782109855,9,9,2,3
43,VCTM5,p2session2data,P2,7013104509,9,9,2,3
44,VCTM5,p2session2data,P2,4193453638,9,9,2,3
45,VCTM5,p2session2data,P2,5753584019,12,30,2,2
46,VCTM5,p2session2data,P2,4037847170,7,30,2,2
47,VCTM5,p2session2data,P2,8770838178,7,20,2,2
48,VCTM5,p2session2data,P2,3976234750,8,20,2,2
49,VCTM5,p2session2data,P2,7353253846,8,15,2,2
50,VCTM5,p2session2data,P2,5339660502,11,15,2,2
51,VCTM5,p2session2data,P2,5631239304,8,8,2,2
52,VCTM5,p2session2data,P2,5885426676,8,8,2,2
53,VCTM5,p2session2data,P2,5151657274,7,7,2,2
54,VCTM5,p2session2data,P2,7946397007,7,7,2,2
55,VCTM5,p2session2data,P2,8005340493,26,28,2,1
56,VCTM5,p2session2data,P2,1108876965,27,27,2,1
57,VCTM5,p2session2data,P2,6418046186,26,26,2,1
58,VCTM5,p2session2data,P2,8519255924,22,22,2,1
59,VCTM5,p2session2data,P2,4630110075,10,18,2,1
60,VCTM5,p2session2data,P2,3197686757,12,13,2,1
61,VCTM5,p2session2data,P2,6346546297,6,6,2,1
62,VCTM5,p2session2data,P2,3988386972,1,1,2,1
