id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,VCTM5,p2session2data,P2,5151657274,7,7,1,1
2,VCTM5,p2session2data,P2,9742143058,10,10,1,1
3,VCTM5,p2session2data,P2,7353253846,8,15,1,1
4,VCTM5,p2session2data,P2,7687077683,8,30,1,1
5,VCTM5,p2session2data,P2,7687077683,8,30,2,1
6,VCTM5,p2session2data,P2,7353253846,8,15,2,1
7,VCTM5,p2session2data,P2,9742143058,10,10,2,1
8,VCTM5,p2session2data,P2,5151657274,7,7,2,1
9,VCTM5,p2session2data,P2,5151657274,7,7,1,1
10,VCTM5,p2session2data,P2,9742143058,10,10,1,1
11,VCTM5,p2session2data,P2,7353253846,8,15,1,1
12,VCTM5,p2session2data,P2,7687077683,8,30,1,1
