id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,VCTM5,p2session2data,P2,6346546297,6,6,1,1
2,VCTM5,p2session2data,P2,5151657274,7,7,1,1
3,VCTM5,p2session2data,P2,8312786506,8,8,1,1
4,VCTM5,p2session2data,P2,9742143058,10,10,1,1
5,VCTM5,p2session2data,P2,4857792889,12,12,1,1
6,VCTM5,p2session2data,P2,3197686757,12,13,1,1
7,VCTM5,p2session2data,P2,7353253846,8,15,1,1
8,VCTM5,p2session2data,P2,3976234750,8,20,1,1
9,VCTM5,p2session2data,P2,1108876965,27,27,1,1
10,VCTM5,p2session2data,P2,7687077683,8,30,1,1
11,VCTM5,p2session2data,P2,7687077683,8,30,2,1
12,VCTM5,p2session2data,P2,1108876965,27,27,2,1
13,VCTM5,p2session2data,P2,3976234750,8,20,2,1
14,VCTM5,p2session2data,P2,7353253846,8,15,2,1
15,VCTM5,p2session2data,P2,3197686757,12,13,2,1
16,VCTM5,p2session2data,P2,4857792889,12,12,2,1
17,VCTM5,p2session2data,P2,9742143058,10,10,2,1
18,VCTM5,p2session2data,P2,8312786506,8,8,2,1
19,VCTM5,p2session2data,P2,5151657274,7,7,2,1
20,VCTM5,p2session2data,P2,6346546297,6,6,2,1
