id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,NO2,p2session2data,P2,8933426252,6,6,1,1
2,NO2,p2session2data,P2,8933426252,6,6,2,1
3,NO2,p2session2data,P2,8933426252,6,6,1,1
4,NO2,p2session2data,P2,8933426252,6,6,2,1
5,NO2,p2session2data,P2,8933426252,6,6,1,1
6,NO2,p2session2data,P2,8933426252,6,6,2,1
7,NO2,p2session2data,P2,8933426252,6,6,1,1
8,NO2,p2session2data,P2,8933426252,6,6,2,1
9,NO2,p2session2data,P2,8933426252,6,6,1,1
10,NO2,p2session2data,P2,8933426252,6,6,2,1
11,NO2,p2session2data,P2,8933426252,6,6,1,1
