id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,NO2,p2session2data,P2,3106278386,5,5,1,1
2,NO2,p2session2data,P2,8933426252,6,6,1,1
3,NO2,p2session2data,P2,2932336063,10,16,1,1
4,NO2,p2session2data,P2,8020212732,9,20,1,1
5,NO2,p2session2data,P2,3670006807,21,21,1,1
6,NO2,p2session2data,P2,6252496439,25,25,1,1
7,NO2,p2session2data,P2,3210362324,26,26,1,1
8,NO2,p2session2data,P2,6206631177,2,2,1,2
9,NO2,p2session2data,P2,4369743860,2,2,1,2
10,NO2,p2session2data,P2,8105542289,11,11,1,2
11,NO2,p2session2data,P2,1139622440,11,11,1,2
12,NO2,p2session2data,P2,7031937706,12,12,1,2
13,NO2,p2session2data,P2,2163621223,12,12,1,2
14,NO2,p2session2data,P2,8814208934,13,13,1,2
15,NO2,p2session2data,P2,5731152218,13,13,1,2
16,NO2,p2session2data,P2,7304977222,10,10,1,3
17,NO2,p2session2data,P2,5895101781,10,10,1,3
18,NO2,p2session2data,P2,9706853088,10,10,1,3
19,NO2,p2session2data,P2,7304977222,10,10,2,3
20,NO2,p2session2data,P2,9706853088,10,10,2,3
21,NO2,p2session2data,P2,5895101781,10,10,2,3
22,NO2,p2session2data,P2,8814208934,13,13,2,2
23,NO2,p2session2data,P2,5731152218,13,13,2,2
24,NO2,p2session2data,P2,7031937706,12,12,2,2
25,NO2,p2session2data,P2,2163621223,12,12,2,2
26,NO2,p2session2data,P2,1139622440,11,11,2,2
27,NO2,p2session2data,P2,8105542289,11,11,2,2
28,NO2,p2session2data,P2,6206631177,2,2,2,2
29,NO2,p2session2data,P2,4369743860,2,2,2,2
30,NO2,p2session2data,P2,3210362324,26,26,2,1
31,NO2,p2session2data,P2,6252496439,25,25,2,1
32,NO2,p2session2data,P2,3670006807,21,21,2,1
33,NO2,p2session2data,P2,8020212732,9,20,2,1
34,NO2,p2session2data,P2,2932336063,10,16,2,1
35,NO2,p2session2data,P2,8933426252,6,6,2,1
36,NO2,p2session2data,P2,3106278386,5,5,2,1
