id_play,code_play,code_session,treat,hidden_number,report1,report2,belief1
1,a6bilsrh,9ai9o7r1,VCTM3,10,10,10,10
6,xvvqgsoy,9ai9o7r1,VCTM3,10,10,10,7
4,g62ogy6f,57643gtm,VCTM3,12,12,12,12
7,q4j98b0k,57643gtm,VCTM3,6,6,11,6
