id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,FRST3,b4g2xi5719s1v229,P1,3462410302,1,1,1,1
2,FRST3,y0cl1u2019s1v229,P1,7297924041,2,2,1,1
3,FRST3,4vbs7u3t19s1v229,P1,7834282428,5,5,1,1
4,FRST3,6tc7x17f19s1v229,P1,4595193272,15,15,1,1
5,FRST3,qn6wraok19s1v229,P1,4795289764,7,16,1,1
6,FRST3,nzcid44m19s1v229,P1,9398729576,21,21,1,1
7,FRST3,61qr3f6x19s1v229,P1,7473476962,22,22,1,1
8,FRST3,8ki2l6xs19s1v229,P1,4837529222,29,29,1,1
9,FRST3,60ss2n5v19s1v229,P1,1277931993,14,14,1,2
10,FRST3,yzk4hkar19s1v229,P1,5728916070,14,14,1,2
11,FRST3,0wpui4e519s1v229,P1,5495489703,6,6,1,3
12,FRST3,0kg5q9c719s1v229,P1,9191058992,6,6,1,3
13,FRST3,jvn6vssh19s1v229,P1,5905072759,6,6,1,3
14,FRST3,a71mqusb19s1v229,P1,9298719821,12,12,1,3
15,FRST3,rd8j76em19s1v229,P1,9070537815,12,12,1,3
16,FRST3,n7q8gktt19s1v229,P1,9456009539,12,12,1,3
17,FRST3,yea03tre19s1v229,P1,5633484788,9,9,1,4
18,FRST3,xae2g1or19s1v229,P1,5318347353,9,9,1,4
19,FRST3,64iff6ur19s1v229,P1,3868563718,9,9,1,4
20,FRST3,4mh2clfl19s1v229,P1,9492778415,9,9,1,4
21,FRST3,1g59sg6719s1v229,P1,3902014166,25,25,1,4
22,FRST3,jhsh854419s1v229,P1,7440564895,6,25,1,4
23,FRST3,dzl9wln819s1v229,P1,3621001022,7,25,1,4
24,FRST3,v18o110119s1v229,P1,9307416942,13,25,1,4
25,FRST3,7qmeipxb19s1v229,P1,3398003989,7,7,1,5
26,FRST3,ok9qikl919s1v229,P1,2089228338,7,7,1,5
27,FRST3,b21gic5d19s1v229,P1,7201552387,7,7,1,5
28,FRST3,perb0nja19s1v229,P1,9262692452,7,7,1,5
29,FRST3,kbp2cdn219s1v229,P1,9156963683,7,7,1,5
30,FRST3,hi1q1chi19s1v229,P1,5452480447,8,8,1,6
31,FRST3,aqf4fsbj19s1v229,P1,7885978277,8,8,1,6
32,FRST3,fvgcplhq19s1v229,P1,5214081075,8,8,1,6
33,FRST3,859w43qv19s1v229,P1,8474284097,8,8,1,6
34,FRST3,rmnyx9sw19s1v229,P1,4095880988,8,8,1,6
35,FRST3,8tieba3k19s1v229,P1,5864903011,8,8,1,6
36,FRST3,ftms5c4a19s1v229,P1,4944621495,11,11,1,6
37,FRST3,jjjqip1719s1v229,P1,1317853748,11,11,1,6
38,FRST3,d75968i619s1v229,P1,4823600447,11,11,1,6
39,FRST3,bypvs6i719s1v229,P1,3882032862,11,11,1,6
40,FRST3,w4x0azc619s1v229,P1,1686017610,11,11,1,6
41,FRST3,j66zf3sz19s1v229,P1,1901770244,11,11,1,6
42,FRST3,m5p2re0t19s1v229,P1,2710413478,10,10,1,8
43,FRST3,w8i1olvl19s1v229,P1,7350532645,10,10,1,8
44,FRST3,ssqu08pf19s1v229,P1,8791118882,10,10,1,8
45,FRST3,5t8rk5wv19s1v229,P1,1683282369,10,10,1,8
46,FRST3,x0k8mkul19s1v229,P1,8248647697,10,10,1,8
47,FRST3,v4izwtgi19s1v229,P1,6733190728,8,10,1,8
48,FRST3,0uj24hui19s1v229,P1,6136893538,10,10,1,8
49,FRST3,bugnyo4819s1v229,P1,8242110999,10,10,1,8
50,FRST3,tw0r6bnh19s1v229,P1,3329144730,11,20,1,10
51,FRST3,lrhzpb6t19s1v229,P1,6643486403,20,20,1,10
52,FRST3,xt1t32ax19s1v229,P1,1938160896,20,20,1,10
53,FRST3,4ygmxacu19s1v229,P1,4587271130,9,20,1,10
54,FRST3,pve6m31g19s1v229,P1,9070329436,7,20,1,10
55,FRST3,lgk3cy3019s1v229,P1,6406771025,9,20,1,10
