id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,FRST3,p2session2data,P2,7297924041,2,2,1,1
2,FRST3,p2session2data,P2,5728916070,14,14,1,1
3,FRST3,p2session2data,P2,4595193272,15,15,1,1
4,FRST3,p2session2data,P2,4795289764,7,16,1,1
5,FRST3,p2session2data,P2,4587859267,11,20,1,1
6,FRST3,p2session2data,P2,9398729576,21,21,1,1
7,FRST3,p2session2data,P2,9307416942,13,25,1,1
8,FRST3,p2session2data,P2,5495489703,6,6,1,2
9,FRST3,p2session2data,P2,9191058992,6,6,1,2
10,FRST3,p2session2data,P2,9070537815,12,12,1,2
11,FRST3,p2session2data,P2,9298719821,12,12,1,2
12,FRST3,p2session2data,P2,9298719821,12,12,2,2
13,FRST3,p2session2data,P2,9070537815,12,12,2,2
14,FRST3,p2session2data,P2,9191058992,6,6,2,2
15,FRST3,p2session2data,P2,5495489703,6,6,2,2
16,FRST3,p2session2data,P2,9307416942,13,25,2,1
17,FRST3,p2session2data,P2,9398729576,21,21,2,1
18,FRST3,p2session2data,P2,4587859267,11,20,2,1
19,FRST3,p2session2data,P2,4795289764,7,16,2,1
20,FRST3,p2session2data,P2,4595193272,15,15,2,1
21,FRST3,p2session2data,P2,5728916070,14,14,2,1
22,FRST3,p2session2data,P2,7297924041,2,2,2,1
