id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
78,NO3,2o9yjeuxf6r45zht,P1,9740962724,9,30,1,14
79,NO3,pju018vif6r45zht,P1,5831643144,10,30,1,14
80,NO3,fe22bm5cf6r45zht,P1,3026081516,13,30,1,14
81,NO3,od2wofqwf6r45zht,P1,7061358371,8,30,2,14
82,NO3,x8mtxy2tf6r45zht,P1,9481316386,11,30,2,14
83,NO3,vxnwvqthf6r45zht,P1,4277394340,9,30,2,14
84,NO3,jwxatercf6r45zht,P1,4495849728,7,30,2,14
85,NO3,zxpjbi44f6r45zht,P1,2684481286,9,30,2,14
86,NO3,2o9yjeuxf6r45zht,P1,9740962724,9,30,2,14
87,NO3,pju018vif6r45zht,P1,5831643144,10,30,2,14
88,NO3,s9pkmvzjf6r45zht,P1,6761757732,20,30,2,14
89,NO3,b8suuiqdf6r45zht,P1,5769123853,10,30,2,14
90,NO3,id1hj833f6r45zht,P1,2732670299,8,30,2,14
91,NO3,ma40kcjbf6r45zht,P1,2732366041,13,30,2,14
92,NO3,hf2qiystf6r45zht,P1,3192637411,8,30,2,14
93,NO3,w18vk9cdf6r45zht,P1,9355202993,12,30,2,14
94,NO3,fe22bm5cf6r45zht,P1,3026081516,13,30,2,14
95,NO3,dd9t4nvgf6r45zht,P1,3735239701,11,11,2,11
96,NO3,mbt0de6wf6r45zht,P1,2329782937,11,11,2,11
97,NO3,16sqyv4xf6r45zht,P1,7086917977,11,11,2,11
98,NO3,9yfpftfrf6r45zht,P1,8918492432,11,11,2,11
99,NO3,tjt7glmtf6r45zht,P1,1514150888,11,11,2,11
100,NO3,h1vdfus9f6r45zht,P1,1409423961,11,11,2,11
101,NO3,fvjc4opff6r45zht,P1,2979254806,11,11,2,11
102,NO3,m1w9v5yyf6r45zht,P1,1495798927,11,11,2,11
103,NO3,jucfl9xmf6r45zht,P1,7456164661,11,11,2,11
104,NO3,pdc6271cf6r45zht,P1,7531044404,11,11,2,11
105,NO3,u8mo59tsf6r45zht,P1,6285355411,11,11,2,11
106,NO3,pgma3ivbf6r45zht,P1,4024581870,9,9,2,10
107,NO3,bb2eq55mf6r45zht,P1,9136074618,9,9,2,10
108,NO3,3oedj9mmf6r45zht,P1,6086026003,9,9,2,10
109,NO3,w4wlltx2f6r45zht,P1,3393395169,9,9,2,10
110,NO3,ytbgbtchf6r45zht,P1,7675091199,9,9,2,10
111,NO3,whrw9vqzf6r45zht,P1,7892225507,9,9,2,10
112,NO3,rgjt9voff6r45zht,P1,3542753544,9,9,2,10
113,NO3,vyoqjbrqf6r45zht,P1,6505583615,9,9,2,10
114,NO3,l6pdbqfof6r45zht,P1,9970911106,9,9,2,10
115,NO3,qu39x46af6r45zht,P1,6094563432,9,9,2,10
116,NO3,9308rks9f6r45zht,P1,4239775542,10,10,2,8
117,NO3,ymgbgcktf6r45zht,P1,5553283791,10,10,2,8
118,NO3,46l8wk2sf6r45zht,P1,9565743899,10,10,2,8
119,NO3,7svzzyzaf6r45zht,P1,9676463470,10,10,2,8
120,NO3,c9dn7yd7f6r45zht,P1,6418847258,10,10,2,8
121,NO3,o76sqei9f6r45zht,P1,2058930137,10,10,2,8
122,NO3,uvtbisgmf6r45zht,P1,1780207347,10,10,2,8
123,NO3,6zsy56ymf6r45zht,P1,2457128529,10,10,2,8
124,NO3,pwqbq852f6r45zht,P1,4570492759,8,8,2,7
